Tweet ID,Tweet Text,Created At,Language,Author ID,Likes,Retweets,Replies,Quotes
1971909351914066044,@KangManto123 Agree...utk bisa ngembaliin kepercayaan mohon mbak @puanmaharani_ri usul ke Pak Presiden @prabowo mengganti kapolri,2025-09-27 12:06:40+00:00,in,4184979312,1,0,0,0
1971909021801369664,"Disambut Hangat di Amsterdam, Presiden Prabowo Awali Misi Perkuat Diplomasi Indonesia - Belanda https://t.co/MTdMFBaDQo",2025-09-27 12:05:21+00:00,in,785145642,1,0,0,0
1971909009176514676,"Laporan Polisi Diabaikan Bertahun-Tahun, Warga Inhu Surati Presiden Prabowo dan Kapolri, Desak Copot Kasatreskrim Polres Inhu https://t.co/1kG5jJaU1M",2025-09-27 12:05:18+00:00,in,987726276394807298,0,0,0,0
1971908930449428605,"Presiden Prabowo Subianto mengungkapkan bahwa Belanda akan mengembalikan 30.000 artefak yang pernah dibawa dari Indonesia.

Pengembalian 30.000 artefak ini dilakukan saat dirinya bertemu Raja Belanda Willem-Alexander dan Ratu Máxima di Istana Huis ten Bosch, Den Haag, Belanda, https://t.co/fWoRUh2Hyx",2025-09-27 12:04:59+00:00,in,23343960,2,0,0,0
1971908785603334272,bangga banget deh sama Pak Prabowo! Indonesia mantul https://t.co/CxHESG1jTL,2025-09-27 12:04:25+00:00,in,2176213435,0,0,0,0
1971908779915809188,mantap pisan! Pidato tegas Pak Prabowo bikin bangga banget https://t.co/0cDI88OvIj,2025-09-27 12:04:24+00:00,in,617954296,0,0,0,0
1971908600206594493,@hkmhh_syhptra Dukung terus langkah positif dari Program CKG bersama Prabowo,2025-09-27 12:03:41+00:00,in,1832278596096086016,0,0,0,0
1971908537241706625,"@prabowo 6. @prabowo  shock'n dunia Muslim, nyebut ""security for Israel"", tp ini justru visioner—gak ada perdamaian tanpa saling jamin. Indonesia, sbg netral, bisa jd mediator. Dukung 2-state berarti dukung hak hidup ke-2 pihak, bukan hate. Mari kta amplify suara ini! #IndonesiaForPeace",2025-09-27 12:03:26+00:00,in,1102519704,0,0,0,0
1971908537166209473,"@onoycp Gak perlu pilih-pilih, sekolah rakyat terbuka buat siapa aja berkat Prabowo",2025-09-27 12:03:26+00:00,in,1690943912213626880,0,0,0,0
1971908523622867071,@KenSavitri35075 Itu artinya Prabowo mesti waspada terhadap serangan politik dari PSI. Apa masalahnya saya mengingatkan presiden?,2025-09-27 12:03:22+00:00,in,99743594,0,0,0,0
